-15.0,0.85923125
-14.5,0.8512375
-14.0,0.84234375
-13.5,0.833175
-13.0,0.8247
-12.5,0.81405625
-12.0,0.8034375
-11.5,0.791025
-11.0,0.77989375
-10.5,0.76683125
-10.0,0.753875
-9.5,0.74376875
-9.0,0.72841875
-8.5,0.71105
-8.0,0.6963375
-7.5,0.6806375
-7.0,0.6624125
-6.5,0.64501875
-6.0,0.6261375
-5.5,0.6074625
-5.0,0.58765625
-4.5,0.56688125
-4.0,0.546475
-3.5,0.5224625
-3.0,0.50398125
-2.5,0.48238125
-2.0,0.46000625
-1.5,0.43601875
-1.0,0.41348125
-0.5,0.3924875
0.0,0.37039375
0.5,0.3470375
1.0,0.32444375
1.5,0.30333125
2.0,0.2829875
2.5,0.2652875
3.0,0.245325
3.5,0.22725
4.0,0.21118125
4.5,0.19465
5.0,0.179225
5.5,0.1657625
6.0,0.15326875
6.5,0.1394625
7.0,0.12793125
7.5,0.11678125
8.0,0.106675
8.5,0.0982
9.0,0.08825
9.5,0.08094375
10.0,0.0734375
10.5,0.06516875
11.0,0.05855625
11.5,0.052075
12.0,0.046375
12.5,0.04064375
13.0,0.03551875
13.5,0.02976875
14.0,0.026525
14.5,0.0219125
15.0,0.01916875
